original_title,overview,popularity,release_date,revenue,runtime,status,tagline,title,video,vote_average,vote_count,adult,newBudget,id,original_language,% budget,budgetType
The Usual Suspects,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor  leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",16.302466,7/19/1995,23341568,106,Released,Five Criminals. One Line Up. No Coincidence.,The Usual Suspects,False,8.1,3334,False,6000000,629,en,600000000,high
How To Make An American Quilt,"Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.",4.485958,10/6/1995,23574130,116,Released,There's beauty in the patterns of life.,How To Make An American Quilt,False,6.5,38,False,10000000,11861,en,1000000000,high
Dead Presidents,"Depicts a heist of old bills, retired from circulation and destined by the government to be ""money to burn"". However, more broadly, it addresses the issues of Black Americans' involvement in the Vietnam War and their subsequent disillusionment with progress in social issues and civil rights back home in the United States, during the 1960s.",9.87957,10/6/1995,0,119,Released,"In this daring heist, the only color that counts is green",Dead Presidents,False,6.6,80,False,10000000,11443,en,1000000000,high
Now and Then,"Waxing nostalgic about the bittersweet passage from childhood to puberty in this tender coming-of-age tale, four childhood girlfriends -- Teeny, Chrissy, Samantha and Roberta -- recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",8.681325,10/20/1995,27400000,100,Released,In every woman there is the girl she left behind.,Now and Then,False,6.6,91,False,12000000,9263,en,1200000000,high
Clueless,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",9.882383,7/19/1995,0,97,Released,Sex. Clothes. Popularity. Is there a problem here?,Clueless,False,6.9,828,False,12000000,9603,en,1200000000,high
Waiting to Exhale,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",3.859495,12/22/1995,81452156,127,Released,Friends are the people who let you be yourself... and never let you forget it.,Waiting to Exhale,False,6.1,34,False,16000000,31357,en,1600000000,high
Sense and Sensibility,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.",10.673167,12/13/1995,135000000,136,Released,Lose your heart and come to your senses.,Sense and Sensibility,False,7.2,364,False,16500000,4584,en,1650000000,high
Mortal Kombat,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.",10.870138,8/18/1995,122195920,101,Released,Nothing In This World Has Prepared You For This.,Mortal Kombat,False,5.4,452,False,18000000,9312,en,1800000000,high
La Cité des Enfants Perdus,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",9.822423,5/16/1995,1738611,108,Released,Where happily ever after is just a dream.,The City of Lost Children,False,7.6,308,False,18000000,902,fr,1800000000,high
To Die For,"Susan wants to work in television and will therefore do anything it takes, even if it means killing her husband. A very dark comedy from independent director Gus Van Sant with a brilliant Nicole Kidman in the leading role.",10.448481,5/20/1995,21284514,106,Released,All she wanted was a little attention.,To Die For,False,6.7,177,False,20000000,577,en,2000000000,high
Twelve Monkeys,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",12.297305,12/29/1995,168840000,129,Released,The future is history.,Twelve Monkeys,False,7.4,2470,False,29500000,63,en,2950000000,high
Ace Ventura: When Nature Calls,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",8.205448,11/10/1995,212385533,90,Released,New animals. New adventures. Same hair.,Ace Ventura: When Nature Calls,False,6.1,1128,False,30000000,9273,en,3000000000,high
Babe,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be.",14.404764,7/18/1995,254134910,89,Released,A little pig goes a long way.,Babe,False,6.0,756,False,30000000,9598,en,3000000000,high
Get Shorty,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",12.669608,10/20/1995,115101622,105,Released,"The mob is tough, but its nothing like show business.",Get Shorty,False,6.4,305,False,30250000,8012,en,3025000000,high
Se7en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",18.45743,9/22/1995,327311859,127,Released,Seven deadly sins. Seven ways to die.,Se7en,False,8.1,5915,False,33000000,807,en,3300000000,high
Sudden Death,"International action superstar Jean Claude Van Damme teams with Powers Boothe in a Tension-packed, suspense thriller, set against the back-drop of a Stanley Cup game.Van Damme portrays a father whose daughter is suddenly taken during a championship hockey game. With the captors demanding a billion dollars by game's end, Van Damme frantically sets a plan in motion to rescue his daughter and abort an impending explosion before the final buzzer...",5.23158,12/22/1995,64350171,106,Released,Terror goes into overtime.,Sudden Death,False,5.5,174,False,35000000,9091,en,3500000000,high
Nixon,"An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency.",5.092,12/22/1995,13681765,192,Released,"Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation.",Nixon,False,7.1,72,False,44000000,10858,en,4400000000,high
Assassins,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.",11.065939,10/6/1995,30303072,132,Released,"In the shadows of life, In the business of death, One man found a reason to live...",Assassins,False,6.0,394,False,50000000,9691,en,5000000000,high
Casino,The life of the gambling paradise  Las Vegas  and its dark mafia underbelly.,10.137389,11/22/1995,116112375,178,Released,No one stays at the top forever.,Casino,False,7.8,1343,False,52000000,524,en,5200000000,high
Pocahontas,"History comes gloriously to life in Disney's epic animated tale about love and adventure in the New World. Pocahontas is a Native American woman whose father has arranged for her to marry her village's best warrior. But a vision tells her change is coming, and soon she comes face to face with it in the form of Capt. John Smith.",13.280069,6/14/1995,346079773,81,Released,An American legend comes to life.,Pocahontas,False,6.7,1509,False,55000000,10530,en,5500000000,high
Sabrina,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",6.677277,12/15/1995,0,127,Released,You are cordially invited to the most surprising merger of the year.,Sabrina,False,6.2,141,False,58000000,11860,en,5800000000,high
GoldenEye,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,14.686036,11/16/1995,352194034,130,Released,No limits. No fears. No substitutes.,GoldenEye,False,6.6,1194,False,58000000,710,en,5800000000,high
Money Train,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.",7.337906,11/21/1995,35431113,103,Released,"Get on, or GET OUT THE WAY!",Money Train,False,5.4,224,False,60000000,11517,en,6000000000,high
Heat,"Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.",17.924927,12/15/1995,187436818,170,Released,A Los Angeles Crime Saga,Heat,False,7.7,1886,False,60000000,949,en,6000000000,high
The American President,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",6.318445,11/17/1995,107879496,106,Released,Why can't the most powerful man in the world have the one thing he wants most?,The American President,False,6.5,199,False,62000000,9087,en,6200000000,high
Jumanji,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",17.015539,12/15/1995,262797249,104,Released,Roll the dice and unleash the excitement!,Jumanji,False,6.9,2413,False,65000000,8844,en,6500000000,high
Cutthroat Island,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",7.284477,12/22/1995,10017322,119,Released,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!,Cutthroat Island,False,5.7,137,False,98000000,1408,en,9800000000,high
