original_title,overview,popularity,release_date,revenue,runtime,status,tagline,title,video,vote_average,vote_count,adult,budget,id,original_language
Powder,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.",12.133094,10/27/1995,0,111,Released,An extraordinary encounter with another human being.,Powder,FALSE,6.3,143,FALSE,0,12665,en
Leaving Las Vegas,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",10.332025,10/27/1995,49800000,112,Released,I Love You... The Way You Are.,Leaving Las Vegas,FALSE,7.1,365,FALSE,3600000,451,en
Othello,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,1.845899,12/15/1995,0,123,Released,"Envy, greed, jealousy and love.",Othello,FALSE,7,33,FALSE,0,16420,en
Now and Then,"Waxing nostalgic about the bittersweet passage from childhood to puberty in this tender coming-of-age tale, four childhood girlfriends -- Teeny, Chrissy, Samantha and Roberta -- recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",8.681325,10/20/1995,27400000,100,Released,In every woman there is the girl she left behind.,Now and Then,FALSE,6.6,91,FALSE,12000000,9263,en
Persuasion,"This film adaptation of Jane Austen's last novel follows Anne Elliot, the daughter of a financially troubled aristocratic family, who is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful and perhaps still in love with Anne.",2.228434,9/27/1995,0,104,Released,,Persuasion,FALSE,7.4,36,FALSE,0,17015,en
La Cité des Enfants Perdus,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",9.822423,5/16/1995,1738611,108,Released,Where happily ever after is just a dream.,The City of Lost Children,FALSE,7.6,308,FALSE,18000000,902,fr
Dangerous Minds,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",9.481338,8/11/1995,180000000,99,Released,She broke the rules... and changed their lives.,Dangerous Minds,FALSE,6.4,249,FALSE,0,9909,en
Twelve Monkeys,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",12.297305,12/29/1995,168840000,129,Released,The future is history.,Twelve Monkeys,FALSE,7.4,2470,FALSE,29500000,63,en
"Guillaumet, les ailes du courage",,0.745542,9/18/1996,0,50,Released,,Wings of Courage,FALSE,6.8,4,FALSE,0,78802,fr
Babe,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be.",14.404764,7/18/1995,254134910,89,Released,A little pig goes a long way.,Babe,FALSE,6,756,FALSE,30000000,9598,en
Carrington,"The story of the relationship between painter Dora Carrington and author Lytton Strachey in a World War One England of cottages and countryside. Although platonic due to Strachey's homosexuality, the relationship was nevertheless a deep and complicated one. When Carrington did develop a more physical relationship with soldier Ralph Partridge, Strachey was able to welcome him as a friend, although Partridge remained somewhat uneasy, not so much with Strachey's lifestyle and sexual orientation as with the fact that he was a conscientious objector.",1.493361,11/8/1995,0,121,Released,A Love so Unusual it has to be True,Carrington,FALSE,6.4,16,FALSE,0,47018,en
Dead Man Walking,A justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution. Susan Sarandon won an Oscar for best female actress for her convincing portrayal of Sister Helen Prejean.,6.891317,12/29/1995,39363635,122,Released,,Dead Man Walking,FALSE,7.3,350,FALSE,11000000,687,en
Across the Sea of Time,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times. Thomas is searching for the family of one of his ancestors, who had emigrated decades ago, but once sent a letter home together with a sample of his new profession: 3D-Photography. The boy follows his relative's traces by counter-checking the old 3D-Photographs of New York (using an antique viewer) with the same places and how they look today. This way, the audience gets to see the Big Apple in former times as well as today.",0.114469,10/20/1995,0,51,Released,,Across the Sea of Time,FALSE,3.5,2,FALSE,0,139405,en
It Takes Two,"Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda.",7.777735,11/17/1995,0,101,Released,Two identical strangers. Two different worlds. One perfect match.,It Takes Two,FALSE,6.1,149,FALSE,0,33689,en
Clueless,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",9.882383,7/19/1995,0,97,Released,Sex. Clothes. Popularity. Is there a problem here?,Clueless,FALSE,6.9,828,FALSE,12000000,9603,en
"Cry, the Beloved Country",A South-African preacher goes to search for his wayward son who has committed a crime in the big city.,0.894647,12/15/1995,676525,106,Released,,"Cry, the Beloved Country",FALSE,6.7,13,FALSE,0,34615,en
Richard III,Shakespeare's Play transplanted into a 1930s setting.,4.561387,12/29/1995,0,104,Released,"I can smile, and murder while I smile",Richard III,FALSE,6.9,50,FALSE,0,31174,en
Dead Presidents,"Depicts a heist of old bills, retired from circulation and destined by the government to be ""money to burn"". However, more broadly, it addresses the issues of Black Americans' involvement in the Vietnam War and their subsequent disillusionment with progress in social issues and civil rights back home in the United States, during the 1960s.",9.87957,10/6/1995,0,119,Released,"In this daring heist, the only color that counts is green",Dead Presidents,FALSE,6.6,80,FALSE,10000000,11443,en
Restoration,"An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician.",10.979269,12/29/1995,0,117,Released,,Restoration,FALSE,6.3,30,FALSE,19000000,35196,en
Mortal Kombat,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.",10.870138,8/18/1995,122195920,101,Released,Nothing In This World Has Prepared You For This.,Mortal Kombat,FALSE,5.4,452,FALSE,18000000,9312,en
To Die For,"Susan wants to work in television and will therefore do anything it takes, even if it means killing her husband. A very dark comedy from independent director Gus Van Sant with a brilliant Nicole Kidman in the leading role.",10.448481,5/20/1995,21284514,106,Released,All she wanted was a little attention.,To Die For,FALSE,6.7,177,FALSE,20000000,577,en
How To Make An American Quilt,"Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.",4.485958,10/6/1995,23574130,116,Released,There's beauty in the patterns of life.,How To Make An American Quilt,FALSE,6.5,38,FALSE,10000000,11861,en
Se7en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",18.45743,9/22/1995,327311859,127,Released,Seven deadly sins. Seven ways to die.,Se7en,FALSE,8.1,5915,FALSE,33000000,807,en
Pocahontas,"History comes gloriously to life in Disney's epic animated tale about love and adventure in the New World. Pocahontas is a Native American woman whose father has arranged for her to marry her village's best warrior. But a vision tells her change is coming, and soon she comes face to face with it in the form of Capt. John Smith.",13.280069,6/14/1995,346079773,81,Released,An American legend comes to life.,Pocahontas,FALSE,6.7,1509,FALSE,55000000,10530,en
When Night Is Falling,"A prudish woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman whom works at a local carnival which comes to town.",3.302524,5/5/1995,0,96,Released,,When Night Is Falling,FALSE,5.9,10,FALSE,0,8391,en
The Usual Suspects,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",16.302466,7/19/1995,23341568,106,Released,Five Criminals. One Line Up. No Coincidence.,The Usual Suspects,FALSE,8.1,3334,FALSE,6000000,629,en
